,Candidate Name,Party,Criminal Cases,Education,Age,Assets,Liabilities,District,Election,EduRank
57,Krishnachandra Debnath,SUCI(C),0,Literate,72,"Rs 15,719 ~ 15 Thou+",Rs 0 ~,NADIA,WestBengal2021,2
58,Krishnapada Pramanik,CPI(ML)(L),0,Graduate,65,"Rs 16,81,509 ~ 16 Lacs+","Rs 3,27,000 ~ 3 Lacs+",NADIA,WestBengal2021,7
59,Madhab Biswas,Party for Democratic Socialism,0,10th Pass,60,"Rs 65,25,166 ~ 65 Lacs+","Rs 6,90,000 ~ 6 Lacs+",NADIA,WestBengal2021,0
60,Mahadev Sarkar,BJP,7,Graduate,51,"Rs 1,92,00,293 ~ 1 Crore+","Rs 4,98,679 ~ 4 Lacs+",NADIA,WestBengal2021,7
61,Maniruzzaman Mondal,SUCI(C),2,Graduate,48,"Rs 11,59,000 ~ 11 Lacs+","Rs 1,00,000 ~ 1 Lacs+",NADIA,WestBengal2021,7
62,Mohiuddin Mondal,SUCI(C),0,Graduate,57,"Rs 28,95,550 ~ 28 Lacs+","Rs 1,70,000 ~ 1 Lacs+",NADIA,WestBengal2021,7
63,Mousumi Saha Mandal,IND,0,Post Graduate,39,"Rs 32,89,141 ~ 32 Lacs+","Rs 16,79,000 ~ 16 Lacs+",NADIA,WestBengal2021,0
64,Mozammel Hossain Mondal,SUCI(C),0,Graduate Professional,37,"Rs 7,49,400 ~ 7 Lacs+",Rs 0 ~,NADIA,WestBengal2021,0
65,Mukul Roy,BJP,19,Post Graduate,67,"Rs 79,16,409 ~ 79 Lacs+",Rs 0 ~,NADIA,WestBengal2021,0
66,Mukut Mani Adhikari,BJP,0,Graduate Professional,31,"Rs 53,18,365 ~ 53 Lacs+","Rs 12,40,000 ~ 12 Lacs+",NADIA,WestBengal2021,0
67,Nadia Chand Biswas,SUCI(C),0,8th Pass,36,"Rs 7,14,500 ~ 7 Lacs+","Rs 84,245 ~ 84 Thou+",NADIA,WestBengal2021,0
68,Nanigopal Mistri,SUCI(C),0,Graduate,39,"Rs 7,436 ~ 7 Thou+",Rs 0 ~,NADIA,WestBengal2021,7
69,Narayan Das Gupta,CPI(M),0,Post Graduate,57,"Rs 1,66,78,160 ~ 1 Crore+",Rs 0 ~,NADIA,WestBengal2021,0
70,Nasiruddin Ahamed (Lal),AITC,2,Post Graduate,67,"Rs 2,64,44,563 ~ 2 Crore+",Rs 0 ~,NADIA,WestBengal2021,0
